gene,avg_logFC,avg(logUMI)_cluster_4,avg(logUMI)_cluster_all,p_val,p_val_adj,cluster,Tabulo,
Fgd2,-0.948795573,0.171338844,0.79393228,5.76E-28,6.99E-24,4,,
Golm1,-0.950869077,0.045980615,0.597621267,3.26E-29,3.96E-25,4,,
Abhd12,-0.954845841,0.632945042,1.393417938,9.46E-25,1.15E-20,4,,
Ivns1abp,-0.956999669,0.09891862,0.716846817,7.23E-33,8.79E-29,4,,
Tmcc3,-0.961693832,0.078905552,0.677460158,1.72E-30,2.09E-26,4,,
Ctsf,-0.966623304,0.024441478,0.593052084,4.45E-33,5.40E-29,4,,
Kctd12,-0.971692615,0.353519066,1.068802483,3.03E-28,3.67E-24,4,,
Anxa3,-0.980397812,0.422946133,1.132480513,3.75E-28,4.55E-24,4,,
Adamts1,-0.981307071,0.030063307,0.327128305,3.78E-09,4.60E-05,4,,
Fcgr3,-0.981322659,1.233276638,1.958792633,7.15E-31,8.68E-27,4,,
Cd9,-1.003148004,1.101972618,2.299708957,1.06E-41,1.29E-37,4,,
Rab3il1,-1.010896806,0.027799973,0.640341778,2.51E-36,3.05E-32,4,,
Sft2d1,-1.011902831,0.572789126,1.315782241,9.75E-31,1.18E-26,4,,
Ly86,-1.013902904,1.252840283,2.099112019,6.21E-32,7.54E-28,4,,
Frmd4a,-1.014258789,0.034522069,0.643596625,2.91E-35,3.53E-31,4,,
Pla2g15,-1.015551379,0.084873216,0.704734834,2.39E-31,2.90E-27,4,,
Maf,-1.018210829,0.118517984,0.712994795,1.79E-27,2.17E-23,4,,
Tmem86a,-1.023999092,0.071062349,0.714370932,9.23E-33,1.12E-28,4,,
Cyth4,-1.024640311,0.349911979,1.110584049,4.01E-35,4.87E-31,4,,
Rhoh,-1.029680467,0.10701926,0.747564552,3.03E-31,3.68E-27,4,,
Saraf,-1.03144699,0.410785367,1.212937475,6.42E-37,7.80E-33,4,,
Adgrg1,-1.033147896,0.013756462,0.613769693,2.00E-35,2.43E-31,4,,
Tmem176b,-1.033175156,0.54050085,1.502129588,3.52E-40,4.27E-36,4,,
Slco2b1,-1.039742836,0.027716456,0.648084962,1.54E-34,1.87E-30,4,,
Jun,-1.040283794,1.164801458,2.150539519,2.05E-24,2.49E-20,4,,
